Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Economy Code
Nauru,Annual Change in Money Supply,,,,%,,NAU
Nepal,Annual Change in Money Supply,11.2,,2023,%,,NEP
Niue,Annual Change in Money Supply,,,,%,,NIU
Pakistan,Annual Change in Money Supply,14.2,,2023,%,,PAK
Palau,Annual Change in Money Supply,,,,%,,PAL
Papua New Guinea,Annual Change in Money Supply,14.8,,2022,%,,PNG
Philippines,Annual Change in Money Supply,6.2,,2023,%,,PHI
Samoa,Annual Change in Money Supply,16.3,,2023,%,,SAM
Singapore,Annual Change in Money Supply,4.7,,2023,%,,SIN
Solomon Islands,Annual Change in Money Supply,5.9,,2023,%,,SOL
Sri Lanka,Annual Change in Money Supply,7.3,,2023,%,,SRI
"Taipei,China",Annual Change in Money Supply,5.6,,2023,%,,TAP
Tajikistan,Annual Change in Money Supply,-0.8,,2023,%,,TAJ
Thailand,Annual Change in Money Supply,2,,2023,%,,THA
Timor-Leste,Annual Change in Money Supply,2.7,,2023,%,,TIM
Tonga,Annual Change in Money Supply,70.8,,2022,%,,TON
Turkmenistan,Annual Change in Money Supply,19.9,,2022,%,,TKM
Tuvalu,Annual Change in Money Supply,,,,%,,TUV
Uzbekistan,Annual Change in Money Supply,12.2,,2023,%,,UZB
Vanuatu,Annual Change in Money Supply,4.1,,2023,%,,VAN
Viet Nam,Annual Change in Money Supply,10.3,,2023,%,,VIE
Afghanistan,Annual Growth Rate of GDP,-6.2,,2023,%,,AFG
Armenia,Annual Growth Rate of GDP,8.7,,2023,%,,ARM
Azerbaijan,Annual Growth Rate of GDP,1.1,,2023,%,,AZE
Bangladesh,Annual Growth Rate of GDP,5.8,,2023,%,,BAN
Bhutan,Annual Growth Rate of GDP,4,,2023,%,,BHU
Brunei Darussalam,Annual Growth Rate of GDP,1.4,,2023,%,,BRU
Cambodia,Annual Growth Rate of GDP,5,,2023,%,,CAM
"China, People's Republic of",Annual Growth Rate of GDP,5.2,,2023,%,,PRC
Cook Islands,Annual Growth Rate of GDP,13.3,,2023,%,,COO
Fiji,Annual Growth Rate of GDP,7.8,,2023,%,,FIJ
Georgia,Annual Growth Rate of GDP,7,,2023,%,,GEO
"Hong Kong, China",Annual Growth Rate of GDP,3.2,,2023,%,,HKG
India,Annual Growth Rate of GDP,7.6,,2023,%,,IND
Indonesia,Annual Growth Rate of GDP,5,,2023,%,,INO
Kazakhstan,Annual Growth Rate of GDP,5.1,,2023,%,,KAZ
Kiribati,Annual Growth Rate of GDP,4.2,,2023,%,,KIR
"Korea, Republic of",Annual Growth Rate of GDP,1.4,,2023,%,,KOR
Kyrgyz Republic,Annual Growth Rate of GDP,6.2,,2023,%,,KGZ
Lao People's Democratic Republic,Annual Growth Rate of GDP,3.7,,2023,%,,LAO
Malaysia,Annual Growth Rate of GDP,3.7,,2023,%,,MAL
Maldives,Annual Growth Rate of GDP,4.4,,2023,%,,MLD
Marshall Islands,Annual Growth Rate of GDP,2.5,,2023,%,,RMI
"Micronesia, Federated States of",Annual Growth Rate of GDP,2.6,,2023,%,,FSM
Mongolia,Annual Growth Rate of GDP,7,,2023,%,,MON
Myanmar,Annual Growth Rate of GDP,0.8,,2023,%,,MYA
Nauru,Annual Growth Rate of GDP,1.6,,2023,%,,NAU
Nepal,Annual Growth Rate of GDP,1.9,,2023,%,,NEP
Niue,Annual Growth Rate of GDP,-6.2,,2021,%,,NIU
Pakistan,Annual Growth Rate of GDP,-0.2,,2023,%,,PAK
Palau,Annual Growth Rate of GDP,-0.2,,2023,%,,PAL
Papua New Guinea,Annual Growth Rate of GDP,2,,2023,%,,PNG
Philippines,Annual Growth Rate of GDP,5.6,,2023,%,,PHI
Samoa,Annual Growth Rate of GDP,8,,2023,%,,SAM
Singapore,Annual Growth Rate of GDP,1.1,,2023,%,,SIN
Solomon Islands,Annual Growth Rate of GDP,2.5,,2023,%,,SOL
Sri Lanka,Annual Growth Rate of GDP,-2.3,,2023,%,,SRI
"Taipei,China",Annual Growth Rate of GDP,1.3,,2023,%,,TAP
Tajikistan,Annual Growth Rate of GDP,8.3,,2023,%,,TAJ
Thailand,Annual Growth Rate of GDP,1.9,,2023,%,,THA
Timor-Leste,Annual Growth Rate of GDP,1.9,,2023,%,,TIM
Tonga,Annual Growth Rate of GDP,2.8,,2023,%,,TON
Turkmenistan,Annual Growth Rate of GDP,6.3,,2023,%,,TKM
Tuvalu,Annual Growth Rate of GDP,3.9,,2023,%,,TUV
Uzbekistan,Annual Growth Rate of GDP,6,,2023,%,,UZB
Vanuatu,Annual Growth Rate of GDP,1,,2023,%,,VAN
Viet Nam,Annual Growth Rate of GDP,5,,2023,%,,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Agriculture",-6.6,,2023,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Agriculture",0.2,,2023,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Agriculture",3,,2023,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Agriculture",3.4,,2023,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Agriculture",1.3,,2023,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Agriculture",-9,,2023,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Agriculture",1.1,,2023,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Agriculture",4.2,,2023,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Agriculture",-3.9,,2023,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Agriculture",0.7,,2023,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Agriculture",0.8,,2023,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Agriculture",-2.7,,2023,%,,HKG
India,"Annual Real Growth Rates on Value Added, Agriculture",0.7,,2023,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Agriculture",1.3,,2023,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Agriculture",-7.7,,2023,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Agriculture",5,,2021,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Agriculture",-2.4,,2023,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Agriculture",0.6,,2023,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Agriculture",1.4,,2023,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Agriculture",0.7,,2023,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Agriculture",3.1,,2023,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Agriculture",-15.4,,2022,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Agriculture",-3.6,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Agriculture",-8.9,,2023,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Agriculture",-1.8,,2023,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Agriculture",,,,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Agriculture",2.7,,2023,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Agriculture",,,,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Agriculture",2.3,,2023,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Agriculture",0.4,,2022,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Agriculture",2,,2023,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Agriculture",1.2,,2023,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Agriculture",0.8,,2023,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Agriculture",2.6,,2023,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Agriculture",3.3,,2023,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Agriculture",2.6,,2023,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Agriculture",0.9,,2023,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Agriculture",11.6,,2023,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Agriculture",1.9,,2023,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Agriculture",3,,2023,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Agriculture",0.1,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Agriculture",,,,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Agriculture",13.9,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Agriculture",4,,2023,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Agriculture",-4.4,,2023,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Agriculture",3.8,,2023,%,,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Industry",-5.7,,2023,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Industry",5.5,,2023,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Industry",-0.1,,2023,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Industry",8.4,,2023,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Industry",-4.4,,2023,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Industry",-1.4,,2023,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Industry",-0.2,,2023,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Industry",4.7,,2023,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Industry",-98,,2023,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Industry",1.9,,2023,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Industry",3.4,,2023,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Industry",4.3,,2023,%,,HKG
India,"Annual Real Growth Rates on Value Added, Industry",9,,2023,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Industry",5,,2023,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Industry",5.6,,2023,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Industry",21.1,,2021,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Industry",0.8,,2023,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Industry",4.9,,2023,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Industry",2.4,,2023,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Industry",1.3,,2023,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Industry",8.6,,2023,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Industry",10.2,,2022,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Industry",-0.9,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Industry",14.5,,2023,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Industry",2.2,,2023,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Industry",,,,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Industry",0.6,,2023,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Industry",,,,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Industry",-3.8,,2023,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Industry",-19.6,,2022,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Industry",-0.7,,2023,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Industry",3.6,,2023,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Industry",-1.9,,2023,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Industry",-2.9,,2023,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Industry",5.2,,2023,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Industry",-9.2,,2023,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Industry",-6.1,,2023,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Industry",15.4,,2022,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Industry",-2.3,,2023,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Industry",3.2,,2023,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Industry",1.2,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Industry",,,,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Industry",-5.6,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Industry",6,,2023,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Industry",11.5,,2023,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Industry",3.7,,2023,%,,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Services",-6.5,,2023,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Services",12.1,,2023,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Services",1.8,,2023,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Services",5.4,,2023,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Services",9.5,,2023,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Services",5.9,,2023,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Services",12,,2023,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Services",5.8,,2023,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Services",20.9,,2023,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Services",5.4,,2023,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Services",8.8,,2023,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Services",3.7,,2023,%,,HKG
India,"Annual Real Growth Rates on Value Added, Services",7.5,,2023,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Services",6.1,,2023,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Services",5.7,,2023,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Services",1.4,,2021,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Services",2.1,,2023,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Services",6.2,,2023,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Services",5.6,,2023,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Services",5.3,,2023,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Services",5,,2023,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Services",2,,2022,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Services",-1.8,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Services",8.2,,2023,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Services",1,,2023,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Services",,,,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Services",2.3,,2023,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Services",,,,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Services",0.1,,2023,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Services",0.8,,2022,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Services",3.2,,2023,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Services",7.2,,2023,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Services",6.6,,2023,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Services",2.3,,2023,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Services",1.6,,2023,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Services",-0.2,,2023,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Services",4.2,,2023,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Services",13.6,,2023,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Services",4.5,,2023,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Services",1.4,,2023,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Services",-7.6,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Services",,,,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Services",77,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Services",6.8,,2023,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Services",1.1,,2023,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Services",6.8,,2023,%,,VIE
Afghanistan,Average Annual Population Growth Rate,2.1,,2018-2023,%,,AFG
Armenia,Average Annual Population Growth Rate,0.1,,2018-2023,%,,ARM
Azerbaijan,Average Annual Population Growth Rate,0.5,,2018-2023,%,,AZE
Bangladesh,Average Annual Population Growth Rate,1.3,,2018-2023,%,,BAN
Bhutan,Average Annual Population Growth Rate,1,,2018-2023,%,,BHU
Brunei Darussalam,Average Annual Population Growth Rate,0.6,,2018-2023,%,,BRU
Cambodia,Average Annual Population Growth Rate,1.7,,2018-2023,%,,CAM
"China, People's Republic of",Average Annual Population Growth Rate,0.1,,2018-2023,%,,PRC
Cook Islands,Average Annual Population Growth Rate,0.4,,2018-2023,%,,COO
Fiji,Average Annual Population Growth Rate,0.4,,2018-2023,%,,FIJ
Georgia,Average Annual Population Growth Rate,-0.1,,2018-2023,%,,GEO
"Hong Kong, China",Average Annual Population Growth Rate,0.1,,2018-2023,%,,HKG
India,Average Annual Population Growth Rate,1,,2018-2023,%,,IND
Indonesia,Average Annual Population Growth Rate,1.1,,2018-2023,%,,INO
Kazakhstan,Average Annual Population Growth Rate,1.7,,2018-2023,%,,KAZ
Kiribati,Average Annual Population Growth Rate,1.7,,2018-2023,%,,KIR
"Korea, Republic of",Average Annual Population Growth Rate,0,,2018-2023,%,,KOR
Kyrgyz Republic,Average Annual Population Growth Rate,2.4,,2018-2023,%,,KGZ
Lao People's Democratic Republic,Average Annual Population Growth Rate,1.5,,2018-2023,%,,LAO
Malaysia,Average Annual Population Growth Rate,0.6,,2018-2023,%,,MAL
Maldives,Average Annual Population Growth Rate,2.9,,2018-2023,%,,MLD
Marshall Islands,Average Annual Population Growth Rate,-0.1,,2018-2023,%,,RMI
"Micronesia, Federated States of",Average Annual Population Growth Rate,0.2,,2018-2023,%,,FSM
Mongolia,Average Annual Population Growth Rate,1.6,,2018-2023,%,,MON
Myanmar,Average Annual Population Growth Rate,0.7,,2018-2023,%,,MYA
Nauru,Average Annual Population Growth Rate,1.1,,2018-2023,%,,NAU
Nepal,Average Annual Population Growth Rate,0.9,,2018-2023,%,,NEP
Niue,Average Annual Population Growth Rate,-1.2,,2018-2023,%,,NIU
Pakistan,Average Annual Population Growth Rate,2.5,,2018-2023,%,,PAK
Palau,Average Annual Population Growth Rate,0.1,,2018-2023,%,,PAL
Papua New Guinea,Average Annual Population Growth Rate,2.1,,2018-2023,%,,PNG
Philippines,Average Annual Population Growth Rate,1.3,,2018-2023,%,,PHI
Samoa,Average Annual Population Growth Rate,0.6,,2018-2023,%,,SAM
Singapore,Average Annual Population Growth Rate,1,,2018-2023,%,,SIN
Solomon Islands,Average Annual Population Growth Rate,2.2,,2018-2023,%,,SOL
Sri Lanka,Average Annual Population Growth Rate,0.3,,2018-2023,%,,SRI
"Taipei,China",Average Annual Population Growth Rate,-0.2,,2018-2023,%,,TAP
Tajikistan,Average Annual Population Growth Rate,2.4,,2018-2023,%,,TAJ
Thailand,Average Annual Population Growth Rate,0.3,,2018-2023,%,,THA
Timor-Leste,Average Annual Population Growth Rate,1.8,,2018-2023,%,,TIM
Tonga,Average Annual Population Growth Rate,-0.3,,2018-2023,%,,TON
Turkmenistan,Average Annual Population Growth Rate,1.4,,2018-2023,%,,TKM
Tuvalu,Average Annual Population Growth Rate,0.9,,2018-2023,%,,TUV
Uzbekistan,Average Annual Population Growth Rate,2,,2018-2023,%,,UZB
Vanuatu,Average Annual Population Growth Rate,2.2,,2018-2023,%,,VAN
Viet Nam,Average Annual Population Growth Rate,1,,2018-2023,%,,VIE
Afghanistan,Current Account Balance,11.2,,2020,% of GDP,,AFG
Armenia,Current Account Balance,-1.7,,2023,% of GDP,,ARM
Azerbaijan,Current Account Balance,29.8,,2022,% of GDP,,AZE
Bangladesh,Current Account Balance,-0.7,,2023,% of GDP,,BAN
Bhutan,Current Account Balance,-25.2,,2023,% of GDP,,BHU
Brunei Darussalam,Current Account Balance,8.3,,2023,% of GDP,,BRU
Cambodia,Current Account Balance,1.7,,2023,% of GDP,,CAM
"China, People's Republic of",Current Account Balance,1.5,,2023,% of GDP,,PRC
Cook Islands,Current Account Balance,5.1,,2023,% of GDP,,COO
Fiji,Current Account Balance,-9.5,,2023,% of GDP,,FIJ
Georgia,Current Account Balance,-4.1,,2023,% of GDP,,GEO
"Hong Kong, China",Current Account Balance,9.3,,2023,% of GDP,,HKG
India,Current Account Balance,-1.2,,2023,% of GDP,,IND
Indonesia,Current Account Balance,-0.1,,2023,% of GDP,,INO
Kazakhstan,Current Account Balance,-3.8,,2023,% of GDP,,KAZ
Kiribati,Current Account Balance,33.3,,2023,% of GDP,,KIR
"Korea, Republic of",Current Account Balance,2.1,,2023,% of GDP,,KOR
Kyrgyz Republic,Current Account Balance,-44.5,,2022,% of GDP,,KGZ
Lao People's Democratic Republic,Current Account Balance,-4.6,,2023,% of GDP,,LAO
Malaysia,Current Account Balance,1.2,,2023,% of GDP,,MAL
Maldives,Current Account Balance,-22.4,,2023,% of GDP,,MLD
Marshall Islands,Current Account Balance,17.5,,2022,% of GDP,,RMI
"Micronesia, Federated States of",Current Account Balance,0.7,,2021,% of GDP,,FSM
Mongolia,Current Account Balance,0.7,,2023,% of GDP,,MON
Myanmar,Current Account Balance,-5.5,,2023,% of GDP,,MYA
Nauru,Current Account Balance,3.5,,2023,% of GDP,,NAU
Nepal,Current Account Balance,-1.4,,2023,% of GDP,,NEP
Niue,Current Account Balance,,,,% of GDP,,NIU
Pakistan,Current Account Balance,-0.7,,2023,% of GDP,,PAK
Palau,Current Account Balance,-41.2,,2023,% of GDP,,PAL
Papua New Guinea,Current Account Balance,19.7,,2023,% of GDP,,PNG
Philippines,Current Account Balance,-2.6,,2023,% of GDP,,PHI
Samoa,Current Account Balance,-4.9,,2023,% of GDP,,SAM
Singapore,Current Account Balance,19.8,,2023,% of GDP,,SIN
Solomon Islands,Current Account Balance,-11.4,,2023,% of GDP,,SOL
Sri Lanka,Current Account Balance,1.4,,2023,% of GDP,,SRI
